algorithm,graph_size,nodes,edges,execution_time_ms,memory_usage_mb,path_length,total_weight,iterations,nodes_explored,success,complexity,efficiency_score,throughput,memory_efficiency
DFS,waterways,16,26,0.1343999997516221,0.00179290771484375,5,70,18,13,True,O(V + E),0.001300538427709704,96.01181701511975,4654.64717323368
Multi-Source-BFS,waterways,16,26,0.0797999996393628,0.0021209716796875,2,18,4,4,True,O(V + E),0.0011995541856175801,49.50495071600652,1281.6521296984395
Topological-Sort,waterways,16,26,0.3235999997741601,0.00147247314453125,16,16,16,16,True,O(V + E),0.0019807171961078633,49.291435647356664,6471.253301735417
A*,waterways,16,26,0.1778000000740576,0.001708984375,2,8,2,2,True,O(E log V),0.0014523473735638059,11.1856823219889,738.284066330209
Dijkstra,waterways,16,26,0.09240000008503557,0.00075531005859375,2,8,2,2,True,O(E log V),0.0007010319938544088,21.41327621176777,1139.3998400500714
Bellman-Ford,waterways,16,26,0.39830000014262623,0.00241851806640625,2,8,3,16,True,O(V * E),0.002683148646975829,40.07012270043814,4680.390651502437
BFS,waterways,16,26,0.04979999994247919,0.0021514892578125,2,8,4,4,True,O(V + E),0.001083494982181786,78.74015756947239,1269.2411976604562
DFS,waterways,16,26,0.07550000009359792,0.00080108642578125,3,36,3,3,True,O(V + E),0.0006472154043369702,39.21568622652932,1665.6613236639669
Multi-Source-BFS,waterways,16,26,0.2681000000848144,0.0021209716796875,2,8,4,4,True,O(V + E),0.002005506449582955,14.864362685764728,1281.6521296984395
Topological-Sort,waterways,16,26,0.42480000001887674,0.00147247314453125,16,16,16,16,True,O(V + E),0.002413868386323359,37.576326912378306,6471.253301735417
A*,waterways,16,26,0.21980000019539148,0.0019073486328125,2,9,3,3,True,O(E log V),0.0017123581147881599,13.58695650971569,1031.8679934500567
Dijkstra,waterways,16,26,0.4288000000087777,0.000946044921875,2,9,3,3,True,O(E log V),0.002218032596407639,6.979990693203192,1541.5882574331954
Bellman-Ford,waterways,16,26,0.5071999999017862,0.00241851806640625,2,9,4,16,True,O(V * E),0.0031492569908106406,31.483667853388685,4680.390651502437
BFS,waterways,16,26,0.08890000026440248,0.0021514892578125,2,9,4,4,True,O(V + E),0.0012508488521018758,44.493881960352695,1269.2411976604562
DFS,waterways,16,26,0.09829999999055872,0.00157928466796875,2,9,14,9,True,O(V + E),0.0010596079245695487,90.63444109623067,3489.339548971817
Multi-Source-BFS,waterways,16,26,0.08990000014819088,0.0021209716796875,2,9,4,4,True,O(V + E),0.0012427837037104362,44.00440036830527,1281.6521296984395
Topological-Sort,waterways,16,26,0.17530000013721292,0.00147247314453125,16,16,16,16,True,O(V + E),0.0013459709392267525,90.75439584541874,6471.253301735417
